amplitude beyond1std color_bv_extinction color_diff_bj color_diff_hk color_diff_jh color_diff_rj color_diff_vj eclpoly_15_ratio_diff eclpoly_20_ratio_diff eclpoly_30_ratio_diff eclpoly_5_ratio_diff eclpoly_8_ratio_diff eclpoly_best_orb_chi2 eclpoly_best_orb_period eclpoly_is_suspect eclpoly_orb_signif eclpoly_p_pulse eclpoly_p_pulse_initial flux_percentile_ratio_mid20 flux_percentile_ratio_mid35 flux_percentile_ratio_mid50 flux_percentile_ratio_mid65 flux_percentile_ratio_mid80 fold2P_slope_10percentile fold2P_slope_90percentile freq1_harmonics_amplitude_0 freq1_harmonics_amplitude_1 freq1_harmonics_amplitude_2 freq1_harmonics_amplitude_3 freq1_harmonics_freq_0 freq1_harmonics_rel_phase_0 freq1_harmonics_rel_phase_1 freq1_harmonics_rel_phase_2 freq1_harmonics_rel_phase_3 freq2_harmonics_amplitude_0 freq2_harmonics_amplitude_1 freq2_harmonics_amplitude_2 freq2_harmonics_amplitude_3 freq2_harmonics_freq_0 freq2_harmonics_rel_phase_0 freq2_harmonics_rel_phase_1 freq2_harmonics_rel_phase_2 freq2_harmonics_rel_phase_3 freq3_harmonics_amplitude_0 freq3_harmonics_amplitude_1 freq3_harmonics_amplitude_2 freq3_harmonics_amplitude_3 freq3_harmonics_freq_0 freq3_harmonics_rel_phase_0 freq3_harmonics_rel_phase_1 freq3_harmonics_rel_phase_2 freq3_harmonics_rel_phase_3 freq_amplitude_ratio_21 freq_amplitude_ratio_31 freq_frequency_ratio_21 freq_frequency_ratio_31 freq_model_max_delta_mags freq_model_min_delta_mags freq_model_phi1_phi2 freq_n_alias freq_signif freq_signif_ratio_21 freq_signif_ratio_31 freq_varrat freq_y_offset linear_trend max_slope median_absolute_deviation median_buffer_range_percentage medperc90_2p_p p2p_scatter_2praw p2p_scatter_over_mad p2p_scatter_pfold_over_mad p2p_ssqr_diff_over_var percent_amplitude percent_difference_flux_percentile qso_log_chi2_qsonu qso_log_chi2nuNULL_chi2nu scatter_res_raw skew small_kurtosis std stetson_j stetson_k freq_rrd
0.749 0 0.058 1.086 0.064 0.225 0.926 0.666 0 0 0 -1.03896103896 -0.519480519481 3.445193 0.236603860075 0 4.40574198019 0.63934902456 0.639350836771 0.187718291727 0.339409518668 0.461286877462 0.625911754523 0.80984106443 -4.91002127092 2.69567900184 0.311691282197 0.114194623428 0.082202349079 0.0660395087226 1.56408644036 0 2.21013342435 -1.55340589706 1.23719519371 0.0422821249249 0.0019805237604 0.0016838908877 0.000203257909507 8.45293610186 0 -1.71903250565 -1.71738535135 -1.85831984345 0.0332721898264 0.0135500781103 0.000937970294511 0.000425591941538 6.63276656111 0 1.00990623314 1.98576164378 3.1002993299 0.135653857968 0.106747258351 5.4043919081 4.24066495941 0.0555844700545 0.0147364146821 0.2217066364 0 14.4079071113 0.303445781397 0.266197481566 0.000100823354499 0.0105137429237 3.18901037514e-05 20 0.215 0.337662337662 1.13562865011 0.273128817204 1.20697674419 0.551162790698 1.7809497748 1.03610420113 0.905118078103 3.44111511986 0.133590779243 0.352310957317 -0.152859090193 -0.641458269563 0.287577323124 1.91544554892 1.03473789759 0
0.6955 0 0.012 0.925 0.014 0.114 0.435 1.185 0 0 0 0 -0.278164116829 4.60421 0.622046013046 1 4.04229789104 0.625317856032 0.625317973879 0.160010578204 0.277621178379 0.430884843665 0.610824687781 0.806493689712 -9.25765196567 4.46252410809 0.352210979653 0.167059686189 0.128068123972 0.0839362803386 1.59918636079 0 2.29888278284 -1.37429404152 1.21497805784 0.0219747508061 0.00749817275564 0.000832465651054 0.000286883515365 8.38178642876 0 2.9983547106 -1.96193385511 -2.2114576734 0.0228548941935 0.0058717255619 0.00167674144699 0.000249008048545 5.063510681 0 1.44323349516 -0.952694393622 1.57225553062 0.062390873867 0.0648897834362 5.24128183822 3.16630431896 0.00889863597589 0.000919834940255 0.322525009781 0 20.9846610033 0.187801220259 0.19117115237 7.43821511173e-05 0.0143433014102 1.07221381909e-06 75 0.233 0.286509040334 1.04729456163 0.138420339345 1.22532188841 0.431330472103 1.77220089393 1.19179534384 1.12969805909 3.77249016501 0.0298879188338 0.308963223782 -0.499406456096 -0.733495087445 0.323392105582 2.23863041861 1.00432242056 0
0.7575 0 0.014 0.548 0.035 0.216 0.568 0.808 0 0 0 2.15633423181 -0.269541778976 2.576307 0.110773555531 0 4.21210138135 0.516047995309 0.51604905796 0.154895653768 0.260294612498 0.438450012568 0.609848538684 0.817285279306 -8.42535503995 5.73345172681 0.399370321259 0.188026244113 0.130893294818 0.0759043071257 1.93780022254 0 2.26136915316 -1.55834111005 1.0257485391 0.0353844718724 0.00541251325652 0.00103012090796 9.30073734603e-05 9.02742184137 0 0.574140263906 -1.73891595287 1.942098306 0.0335687745062 0.00605248972238 0.000291475084647 7.36056964477e-05 8.62096207653 0 1.0289721664 0.388843043398 -1.07662275069 0.0886006545527 0.0840542542079 4.65859263321 4.44883945014 0.918295267669 0.0158972645413 0.0257894526624 0 14.9834527667 0.274430256812 0.267283718838 8.66089991197e-05 0.0365489474403 1.61824720081e-05 64 0.236 0.312668463612 1.05164723915 0.150193901741 1.17584745763 0.436440677966 1.65803231939 1.37903044588 1.31893142838 3.86913867917 0.039473710517 0.283528482645 -0.514410381472 -0.784317932376 0.361440318849 2.55102596752 0.977486890907 0
0.7215 0 0.062 0.376 0.079 0.257 0.226 0.076 0 0 0 -0.584795321637 0.194931773879 3.753421 0.139296438513 0 4.16768013176 0.546695701477 0.546697411073 0.174742938045 0.335106390508 0.489694993014 0.692074347511 0.869340451228 -6.58453308777 3.6399125262 0.342954759453 0.146231359424 0.110767876542 0.0726460808232 1.82916538085 0 2.2829744664 -1.4518255743 1.34662906803 0.0281630919718 0.0108225302444 0.000723916158633 0.000358613214325 7.64796258778 0 -3.13877870697 -1.47021017203 -1.06080282483 0.0279871699628 0.00648149247692 0.000938074322634 0.00036463211882 8.24433184245 0 2.99269842409 -2.84801857734 -0.209176427611 0.0821189710757 0.0816060112634 4.18112143815 4.50715497285 0.0228548484292 0.0143174996472 0.317071969067 0 17.5264939609 0.225996172982 0.229081438669 8.0196387741e-05 0.0354151857747 5.32738080324e-06 37 0.239 0.296296296296 1.11410073883 0.152416968884 1.34937238494 0.460251046025 2.01092941673 1.15377335566 1.0429040969 3.81838304323 0.0197505006427 0.289254922082 -0.328502292339 -0.904740700651 0.323109595458 2.28068719836 1.02208721038 0
0.578 0 0.065 0.878 0.023 0.189 1.088 1.078 0 0 0 -1.32075471698 0 2.968793 0.157138418803 0 4.50389838202 0.594403401948 0.594403834754 0.149656079502 0.295063865696 0.449073719552 0.618257883621 0.831670120778 -4.93855661738 2.59571579364 0.251338233731 0.120113832766 0.0581457449775 0.0217306155873 1.68235797155 0 2.46235873936 -1.03943498354 2.0667772521 0.0276146806848 0.00134996185171 0.000324039773227 0.000265662852728 4.87414439036 0 -2.69696569923 2.40003605925 -2.87492461809 0.0287387577495 0.00409353349254 0.00090713063746 0.000244669892524 2.96453581988 0 0.865518659485 -3.06814931251 -0.192220316681 0.109870592607 0.114342960571 2.89721003066 1.76213140723 0.00986495529247 8.67425797502e-05 0.301383407935 1 17.0479508924 0.244797492541 0.244924740669 7.22695112588e-05 0.0100376948235 1.27428754883e-05 450 0.1735 0.337735849057 1.01798281175 0.221025260787 1.39481268012 0.593659942363 2.10257176446 0.721868574986 0.753190872004 3.07993887674 0.0229344589181 0.408218326783 -0.152556904505 -0.682648622425 0.235715637289 1.37364666717 1.0249015696 0
0.767 0 0.02 1.122 0.082 0.299 0.922 1.192 -0.281690140845 0 0 1.40845070423 -0.845070422535 4.409544 0.213601455149 0 4.25855361719 0.652753534699 0.652755278994 0.179763987627 0.323987431866 0.51691964167 0.669786080738 0.81510793205 -3.4660401547 2.06673984863 0.257409726178 0.0893737306655 0.0193403239306 0.00886623488734 1.53196765476 0 2.50897834333 -0.930267259332 2.18909766275 0.0568214189041 0.00700387309111 0.00357051426802 0.00096909650323 4.68162832495 0 -2.2097058883 3.046347074 -2.05592435625 0.0486971990146 0.012549533297 0.00184277584341 0.00030736958134 7.18709883077 0 -0.603792364127 -2.58116203414 0.933611118446 0.220743092143 0.189181658897 3.05595768319 4.69141682493 0.00377815141181 0.0241097022292 0.230571864822 0 12.6009249099 0.341838865988 0.31655979098 0.00014437873769 0.0424503892295 3.07039393905e-06 45 0.223 0.371830985915 1.00944780377 0.469873276604 1.06726457399 0.683856502242 1.83093072699 0.839924489797 0.802190789854 3.24221977218 0.116011591341 0.437369573135 0.0280465047257 -0.60607206562 0.272216157765 1.75955606148 1.04764888691 0
0.707 0 0.043 0.552 0.043 0.264 0.202 0.542 0 0 0 -1.44927536232 0 2.478405 0.392908492442 1 3.94118521165 0.489701309061 0.489701565172 0.170044754096 0.30826692086 0.473812669415 0.622267652299 0.782499766084 -7.89683039693 4.5694500416 0.324480319445 0.153763499532 0.0776520126865 0.0351421610816 2.04206000457 0 2.4256205993 -1.21327916536 1.29359785059 0.0260275783436 0.00126881747205 0.000181876693127 5.25535462742e-05 1.1742533638 0 -2.65352829957 -2.85846546913 1.43061888963 0.0351441392728 0.000740600224532 0.00121042914874 0.000237638219749 1.00224565367 0 0.526454652928 1.58784101422 1.56720946 0.0802131185895 0.108309001091 0.575033721423 0.490801274902 0.0313081595418 0.0297956370202 0.302191555207 1 16.9739230299 0.232080674929 0.278516247203 7.18196949517e-05 0.0239475000054 3.25453186917e-05 253 0.217 0.325051759834 1.0739667811 0.206869271013 0.965437788018 0.456221198157 1.38564717321 1.10087396924 1.03001831347 3.35305977221 0.154382183696 0.310206318211 -0.373894832574 -0.801048137067 0.303175392295 2.05438869765 1.00929475359 0
0.6935 0 0.358 2.295 0.122 0.382 0.975 1.925 0 0 0 -0.412371134021 0 2.114248 0.275712277593 0 4.33863604658 0.584055513108 0.584056093997 0.166920852585 0.323664146452 0.483988223493 0.617303866978 0.813613960752 -6.00027074549 2.868958262 0.264648724676 0.131174557302 0.0721294905472 0.0428995104392 1.7121642714 0 2.28763860853 -1.26861148856 1.68464534618 0.0261600463186 0.0138365630757 0.00295273863894 0.000283773544117 7.25394184186 0 -1.37383667907 -1.73503444816 -0.0334588680739 0.0257374316569 0.00348679841208 0.000749071690282 0.000113423342759 0.0794692403281 0 0.785742894412 1.8776230008 1.74889626385 0.0988481858379 0.0972512967459 4.23670903722 0.0464144951833 0.00202164395516 0.0325160953051 0.314508175502 0 16.7773174182 0.260408899577 0.245478112065 6.10497023493e-05 0.0107227281999 1.18230016709e-05 72 0.175 0.387628865979 1.07105183796 0.175307208786 1.42 0.542857142857 2.04490400113 1.06633151756 0.792139614201 3.09564147088 0.0265361604132 0.342897841517 -0.293411662097 -0.655042453689 0.247173992168 1.50605752539 1.0199751953 0
0.813 0 0.011 0.582 -0.015 0.278 0.612 0.782 0 0 0 -0.445434298441 0 3.170249 0.153669462085 1 3.85551354594 0.508390831669 0.508391304222 0.148235623271 0.29045032134 0.441840581826 0.618270343335 0.844733719111 -8.77215283069 5.58990446469 0.425651710781 0.174352782804 0.126071573053 0.0826603479239 1.9669888472 0 2.19463705865 -1.71073589177 0.933489382059 0.034014078457 0.0170191854261 0.00186548203518 0.000570643604307 0.811044969139 0 3.02147033166 -2.60678892489 1.72313538885 0.0312333791507 0.00517929801178 0.000147792808603 0.000346836557159 0.67608584958 0 -1.44958647603 2.30583898699 -3.13484562112 0.0799105879185 0.0733777836659 0.412328199162 0.343716158097 0.936342606245 0.00550837636222 0.0188029725553 0 16.6517740309 0.278127326105 0.256612513044 7.76493556175e-05 0.0428041474953 2.29713747519e-05 39 0.257 0.329621380846 1.17711471752 0.173510734634 0.863813229572 0.424124513619 1.26571067549 1.56330331987 1.3870607338 3.98749513731 0.15389858397 0.274267521392 -0.521501287662 -0.882144582731 0.3808593723 2.69597582119 0.967230205421 0
0.714 0 0.053 0.659 0.02 0.268 0.309 0.829 0 0 0 -0.404858299595 0 0.644474 0.265418481772 0 4.11347594265 0.61754218181 0.617541732885 0.178666948058 0.348743447505 0.496601775326 0.660370374563 0.844258426574 -7.10442981384 3.38405547654 0.358743900641 0.160793505554 0.115533640845 0.0660703331431 1.61932380862 0 2.35694379424 -1.37157639525 1.31007012787 0.0301052856275 0.00412406614322 0.00141866445144 0.000384518703593 7.53527081044 0 1.91302684194 -2.93474237709 -0.0357442858983 0.024668096893 0.00297092050907 0.000495729486095 6.90879209289e-05 7.62403347134 0 0.0189346851527 -1.45837959378 0.925253537277 0.0839185992393 0.0687624147725 4.65334405035 4.70815869609 0.0123829847793 0.00631917071297 0.315762698061 0 12.4106864378 0.32719868573 0.289958261911 4.33054443862e-05 0.0158675205603 7.1001865874e-06 99 0.223 0.303643724696 1.14791162464 0.0787531717103 1.2869955157 0.295964125561 1.92549051308 1.11251596624 1.08982399777 3.67112542448 0.0045429469529 0.187934437138 -0.495442897145 -0.897107453139 0.320206388792 2.20638084571 0.978303353782 0
